feature,mean_abs_shap
url_len,1.395617778827812
text_len,0.9097295757488726
num_iframes,0.6338761246740298
hostname_len,0.21822985590146868
svd_0,0.20774165005607054
svd_42,0.19833230322641315
svd_198,0.16271437861404267
svd_56,0.14625883224529093
svd_128,0.12549994935940523
num_digits,0.11229473952687118
svd_109,0.10765113428913174
svd_173,0.105182740643248
svd_97,0.10162629379080614
svd_124,0.09691388864843761
svd_53,0.07314159696149872
svd_15,0.07203747420320294
svd_133,0.0682340216408513
svd_199,0.06711022295468717
svd_10,0.06707871506715891
svd_117,0.06549470665343107
svd_22,0.0653876747070346
svd_99,0.06220815769657495
svd_161,0.059619532744167286
svd_58,0.0533227820280241
svd_111,0.050426113306998734
svd_151,0.04959829073494765
svd_39,0.04838454099744558
svd_164,0.0478470643382054
svd_54,0.04710856499677174
svd_185,0.04454188840201822
svd_26,0.04437587235172976
svd_107,0.04340405361624436
svd_31,0.04222635236432541
host_entropy,0.04121838288262954
num_inputs,0.0407757431876846
svd_114,0.040492340793414024
svd_175,0.04045044940200168
svd_12,0.040439934174704824
svd_95,0.03820331748295575
svd_25,0.037696388605237
svd_149,0.03582071698008802
svd_71,0.03391451265424838
svd_137,0.0331613833827083
svd_139,0.03258916579615327
svd_76,0.032136767065705514
svd_72,0.03205942492227768
svd_118,0.03135043678001967
svd_87,0.03031899225976669
svd_65,0.027278900429815987
svd_168,0.02488229641236829
svd_169,0.024830044030840496
svd_77,0.024675163281528488
svd_103,0.024580262372549625
svd_48,0.02457556309790234
svd_3,0.02385675119484076
svd_81,0.023128714497946196
path_len,0.02252016830969369
svd_195,0.02051850555827843
svd_130,0.02007416595252578
svd_8,0.019305050104041592
svd_64,0.019151245077978826
svd_66,0.01867728092585458
svd_187,0.018648937349580223
svd_23,0.018637509423814484
svd_177,0.01719751073736117
svd_20,0.017040597611945124
svd_182,0.01702035409882665
svd_28,0.01679251990090124
svd_63,0.01657730968957767
svd_6,0.01633390007079579
