feature,gain_importance
url_len,1271.5061870829595
text_len,482.2109098948695
num_iframes,393.0269295603157
hostname_len,103.12162793515017
num_digits,98.16104021668434
svd_53,60.31621640920639
svd_198,60.20840807259083
svd_109,56.46087771677412
num_inputs,55.910401344299316
svd_10,55.35657268599607
svd_56,47.97362481802702
svd_71,42.477627873420715
svd_185,42.19207199130619
svd_128,41.907326489686966
svd_0,41.858527479926124
svd_26,37.684034407138824
svd_97,36.15211043506861
path_len,33.79741704463959
svd_124,33.51527939631609
svd_42,32.071363508701324
svd_199,31.051311207032995
host_entropy,30.09355275949929
svd_99,29.246985776815563
svd_133,26.96168030539775
svd_139,24.65418103337288
svd_111,23.513171017169952
svd_114,23.281290411949158
svd_54,20.2435322701931
svd_151,18.26289254426956
svd_87,17.595420232857578
svd_90,17.365247905254364
svd_72,17.117095112800598
svd_76,14.839759431779385
svd_173,14.330071955919266
path_depth,13.2391996383667
svd_103,12.9092698097229
svd_58,12.640420079231262
svd_95,12.141624867916107
svd_77,11.070320039987564
svd_28,11.002817490603775
svd_164,10.86683103442192
svd_25,10.732839941978455
svd_6,10.480710646952502
svd_145,10.195692745470069
svd_168,10.175307095050812
svd_12,9.68917227606289
svd_22,9.536152124404907
svd_23,9.42249339686532
svd_66,8.719485291687306
svd_48,8.703641086816788
svd_15,8.66833370178938
svd_118,8.49721696972847
svd_117,8.404501020908356
svd_65,8.055155813694
svd_152,8.046748865395784
svd_18,7.873515843646601
svd_149,7.646863929199753
svd_81,7.286513119935989
svd_161,7.0930880308151245
svd_29,7.025739789009094
svd_3,6.746480933157727
svd_195,6.557652831077576
svd_13,6.444759964942932
svd_154,6.430753291863084
svd_112,6.429870128631592
svd_82,6.383608132600784
svd_20,6.334336161613464
svd_175,6.233026206027716
svd_46,5.627699851989746
svd_64,5.54885995388031
svd_187,5.336846893653274
svd_174,5.1543008491862565
svd_34,5.133010149002075
svd_107,5.06181401014328
svd_169,4.814504581390793
svd_2,4.529190205328632
svd_192,4.441649913787842
svd_137,4.306990951299667
svd_134,4.196939945220947
svd_115,4.064750075340271
svd_101,3.974189086467959
svd_61,3.8536311089992523
svd_170,3.813070058822632
svd_143,3.4818925730378396
status,3.448036015033722
svd_39,3.051259994506836
svd_172,3.0291422513653288
svd_177,2.850600004196167
svd_27,2.6713099479675293
svd_5,2.606220006942749
svd_94,2.509730100631714
svd_8,2.491070032119751
svd_91,2.4444839656352997
svd_31,2.4165619611740112
svd_196,2.235719919204712
svd_155,2.1630499362945557
svd_89,2.1468853724654764
svd_182,2.0496107000544725
svd_63,2.0261380672454834
svd_4,1.8246599435806274
svd_165,1.768180012702942
svd_47,1.7444690465927124
svd_113,1.736991047859192
svd_32,1.6241799592971802
svd_130,1.565500020980835
svd_51,1.4473479986190796
num_scripts,1.3361560861221733
svd_105,1.3118520081043243
svd_129,1.1585099697113037
svd_96,0.9814916253089905
svd_108,0.7864559888839722
svd_74,0.766281008720398
svd_159,0.7219249904155731
svd_148,0.7075979709625244
svd_162,0.687686026096344
svd_68,0.6806849837303162
svd_100,0.6408860087394714
svd_52,0.6375100016593933
svd_180,0.6374499083540286
svd_102,0.6321679949760437
svd_120,0.6152250170707703
num_links,0.5961826385610038
svd_84,0.5840857392176986
svd_55,0.5697270035743713
svd_193,0.5678099989891052
svd_21,0.5643540024757385
svd_191,0.5517989993095398
svd_85,0.477526992559433
svd_179,0.4643630087375641
svd_123,0.4427030012011528
svd_1,0.41008999943733215
svd_140,0.4015589952468872
svd_116,0.381305992603302
